ID,Child_Type,Union,Gender,Alive,Livewith,Relation,Caregiver,Slum,PI16_DATE,Child_Age
1,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,28 May 15,9.221081451060916
1,Children From Other Unions,1,,,,Biological Mother,, ,28 May 15,0
4,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 May 15,20.2217659137577
4,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 May 15,12.13689253935661
4,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 May 15,7.832991101984942
4,Children With Biological Father,0,Female,Don't Know,,Biological Mother,, ,28 May 15,10.48049281314168
5,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,28 May 15,6.819986310746065
6,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,29 May 15,5.987679671457905
7,Children Not Mentioned,,Male,No,,,, ,29 May 15,4.065708418891171
7,Children Not Mentioned,,,,,,, ,29 May 15,0
7,Non-Biological Children Under Five,,Female,,Yes,Maternal Aunt,Biolgical Mother, ,29 May 15,4.632443531827516
8,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,29 May 15,114.6447638603696
8,Children With Biological Father,0,Female,Yes,No,Biological Mother,Step-Mother, ,29 May 15,14.48049281314168
8,Children With Biological Father,0,Male,Yes,No,Biological Mother,Step-Mother, ,29 May 15,12.82135523613963
8,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,29 May 15,11.15674195756331
8,Children With Biological Father,0,Male,Yes,No,Biological Mother,Step-Mother, ,29 May 15,6.663928815879535
11,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,28 May 15,11.65503080082136
11,Children From Other Unions,1,,,,Biological Mother,, ,28 May 15,0
13,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 May 15,7.38672142368241
13,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 May 15,7.38672142368241
17,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,29 May 15,11.95345653661875
17,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,29 May 15,12.53388090349076
18,Non-Biological Children Under Five,,Female,,Yes,Paternal Aunt,Biolgical Mother, ,29 May 15,2.951403148528405
20,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,29 May 15,11.68514715947981
22,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 May 15,27.91512662559891
22,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 May 15,10.24777549623546
27,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jun 15,12.74743326488706
27,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jun 15,7.315537303216975
28,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,31 May 15,6.518822724161534
31,Children From Other Unions,1,Male,No,,Biological Mother,, ,28 May 15,12
31,Children From Other Unions,1,Female,No,,Biological Mother,, ,28 May 15,8.999315537303216
33,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jun 15,6.349075975359343
35,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,31 May 15,13.33607118412047
35,Children Not Mentioned,,Male,No,,,, ,31 May 15,6.997946611909651
37,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jun 15,13.40177960301164
37,Children From Other Unions,2,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jun 15,16.91718001368925
37,Children From Other Unions,3,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jun 15,9.505817932922655
37,Children From Other Unions,4,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jun 15,.5804243668720055
38,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jun 15,2.704996577686516
40,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jun 15,6.997946611909651
41,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jun 15,10.91581108829569
41,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jun 15,8
41,Children From Other Unions,1,,,,Biological Mother,, ,02 Jun 15,0
46,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jun 15,12.62149212867899
46,Children From Other Unions,2,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jun 15,10.97604380561259
48,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jun 15,12.29295003422314
49,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jun 15,11.44147843942505
49,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jun 15,8.440793976728269
49,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jun 15,17.02669404517454
50,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jun 15,11.28268309377139
50,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jun 15,16.31211498973306
53,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,29 May 15,15.39767282683094
53,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,29 May 15,-.5475701574264202
54,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jun 15,3.969883641341547
55,Children With Biological Father,0,Female,No,,Biological Mother,, ,05 Jun 15,4.490075290896646
57,Children With Biological Father,0,Male,Yes,No,Biological Mother,Maternal Aunt, ,05 Jun 15,5.103353867214237
58,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jun 15,3.909650924024641
60,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jun 15,115.0034223134839
62,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jun 15,9.99315537303217
63,Children From Other Unions,1,Male,Yes,No,Biological Mother,Maternal Grandmother, ,06 Jun 15,12
63,Children From Other Unions,1,Female,Yes,No,Biological Mother,Maternal Grandmother, ,06 Jun 15,9.998631074606434
64,Children With Biological Father,0,Male,Yes,No,Biological Mother,Paternal Aunt, ,05 Jun 15,14.75701574264203
64,Children With Biological Father,0,Female,Yes,No,Biological Mother,Paternal Aunt, ,05 Jun 15,11.71252566735113
64,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jun 15,7.38672142368241
64,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jun 15,10.38466803559206
