PI7,ID,S10_2,S10_3,S10_4_Y,S10_4_M,S10_4_D,S10_4,S10_5,S10_6_Y,S10_6_M,S10_6_D,S10_6,S10_7,S10_8
BF2A3833-70B5-4818-A7A3-595A7A377C28,48,1,Non-Cohabitating Steady Relationship,2002,6,1,01 Jun 02,No,2005,4,1,01 Apr 05,Separated,1
45ADD36F-357D-4A6D-A08A-418808CBBF3A,74,2,Non-Cohabitating Casual Relationship,2002,6,1,01 Jun 02,,,,,,Separated,1
45ADD36F-357D-4A6D-A08A-418808CBBF3A,74,3,Non-Cohabitating Casual Relationship,2008,6,1,01 Jun 08,,,,,,Separated,1
45ADD36F-357D-4A6D-A08A-418808CBBF3A,74,1,Cohabitating,1993,6,1,01 Jun 93,No,1996,6,1,01 Jun 96,Separated,2
B678CF96-D929-4167-9A9F-7A2DC77AF595,162,1,Non-Cohabitating Steady Relationship,1998,6,1,01 Jun 98,No,2005,6,1,01 Jun 05,Separated,2
4B5A3D95-27AC-483C-A862-D7AB77F88105,285,1,Cohabitating,1996,6,1,01 Jun 96,No,2013,6,1,01 Jun 13,Separated,2
34396341-037E-4620-904E-85A3F3EA3EB0,124,1,Cohabitating,1998,6,1,01 Jun 98,,,,,,Separated,4
82A573EC-7706-41F9-AA18-27D34E7E6EDB,150,1,Non-Cohabitating Casual Relationship,1991,6,1,01 Jun 91,No,1995,6,1,01 Jun 95,Separated,1
82A573EC-7706-41F9-AA18-27D34E7E6EDB,150,2,Non-Cohabitating Steady Relationship,1900,5,1,01 May 00,No,1900,5,1,01 May 00,Don't Know,1
82A573EC-7706-41F9-AA18-27D34E7E6EDB,150,3,Non-Cohabitating Casual Relationship,1900,4,1,01 Apr 00,No,2004,6,1,01 Jun 04,Widowed,1
0780AEDC-8C9A-4F32-B537-ED1305D275AE,100,1,Non-Cohabitating Steady Relationship,2009,6,1,01 Jun 09,No,2010,6,1,01 Jun 10,Separated,1
F6A571F1-70C1-4243-9B22-F246B59E5743,75,1,Non-Cohabitating Casual Relationship,2006,6,1,01 Jun 06,No,2009,6,1,01 Jun 09,Separated,1
DFA7BE07-3780-4925-8820-AE21257922D9,234,1,Cohabitating,1995,6,1,01 Jun 95,No,2005,6,1,01 Jun 05,Separated,2
C64DCB3C-5C77-44E8-A6CD-42ADD9E02531,46,2,Non-Cohabitating Casual Relationship,2003,6,1,01 Jun 03,,,,,,Separated,1
C64DCB3C-5C77-44E8-A6CD-42ADD9E02531,46,1,Non-Cohabitating Casual Relationship,2000,6,1,01 Jun 00,No,2002,6,1,01 Jun 02,Separated,1
9F274FAD-09D6-4343-B013-1088C85DD7EE,149,1,Cohabitating,2004,6,1,01 Jun 04,No,2008,3,1,01 Mar 08,Separated,2
94FB9A33-C9B5-4093-ADD8-826D67A481F3,166,1,Cohabitating,2000,6,1,01 Jun 00,No,2005,6,1,01 Jun 05,Separated,1
94FB9A33-C9B5-4093-ADD8-826D67A481F3,166,2,0,2015,6,1,01 Jun 15,No,,,,,Don't Know,1
D5512190-1C4B-40A3-AE03-81685B8EE961,207,1,Non-Cohabitating Steady Relationship,2006,6,1,01 Jun 06,No,2008,6,1,01 Jun 08,Separated,1
00126CF9-8ABF-4486-9CEC-ABE457573D0B,78,1,Non-Cohabitating Casual Relationship,2000,6,1,01 Jun 00,No,2003,6,1,01 Jun 03,Widowed,1
3C1C965A-CA14-4411-9F8B-225674E48A31,165,1,Cohabitating,1990,6,1,01 Jun 90,No,1994,6,1,01 Jun 94,Widowed,2
F7F65A7C-6067-4864-BEB0-198206276126,190,1,Cohabitating,2014,6,1,01 Jun 14,No,2015,4,1,01 Apr 15,Separated,1
DB472313-7322-469D-926E-85C130365525,465,1,Cohabitating,2012,2,1,01 Feb 12,No,2014,7,1,01 Jul 14,Separated,1
70621DA0-C367-41CD-B8CA-ECB148B6A160,137,2,Non-Cohabitating Steady Relationship,2010,6,1,01 Jun 10,No,2012,6,1,01 Jun 12,Separated,1
70621DA0-C367-41CD-B8CA-ECB148B6A160,137,1,Cohabitating,1999,6,1,01 Jun 99,No,2001,6,1,01 Jun 01,Widowed,1
BDB121AD-A8AF-4247-B3BE-375839EF8637,186,1,Non-Cohabitating Steady Relationship,2004,6,1,01 Jun 04,No,2009,6,1,01 Jun 09,Separated,2
B23F478E-E918-4599-A34C-66894986780C,252,1,Cohabitating,1992,6,1,01 Jun 92,No,1996,6,1,01 Jun 96,Separated,3
D2D4174C-D391-4F55-A425-AC745011E226,187,1,Non-Cohabitating Steady Relationship,1998,6,1,01 Jun 98,No,1999,6,1,01 Jun 99,Separated,1
C087165F-F716-4DE5-AD85-902F138A0998,5,1,Non-Cohabitating Casual Relationship,2006,9,1,01 Sep 06,No,2008,11,1,01 Nov 08,Separated,1
1E6FE1EF-DBFF-440A-866C-0AE9AC6D9F69,210,1,Cohabitating,1995,4,1,01 Apr 95,No,2007,5,1,01 May 07,Separated,4
8BF82BDA-CF53-4BC3-8450-744DAA3FCBE0,191,1,Non-Cohabitating Steady Relationship,2013,12,1,01 Dec 13,Yes,,,,,,1
1A7FED3B-B2AF-49A6-878D-9AD1EE6CE819,472,1,0,1900,1,1,01 Jan 00,No,,,,,,1
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,136,1,Cohabitating,1994,6,1,01 Jun 94,No,2005,6,1,01 Jun 05,Widowed,3
3DE0EE3F-E107-4585-AFAE-A1AE0798D339,185,1,Cohabitating,2007,6,1,01 Jun 07,No,2011,7,1,01 Jul 11,Widowed,1
0677C3E6-7377-4767-8CEE-3FC3C7D05390,301,1,Cohabitating,2008,6,1,01 Jun 08,No,2015,6,1,01 Jun 15,Widowed,8
EF022EBC-B30B-4C16-BFAC-25846D5769DF,104,1,Cohabitating,2011,6,1,01 Jun 11,No,2012,6,1,01 Jun 12,Separated,1
11AA84F9-E348-4FC2-8328-D9BB3B8539DC,356,1,Cohabitating,2006,1,1,01 Jan 06,No,2009,6,1,01 Jun 09,Widowed,1
99ED1EF1-0458-4E1B-9B2A-81004C8876DE,145,1,Cohabitating,2007,2,1,01 Feb 07,No,2010,6,1,01 Jun 10,Separated,1
243644C5-546C-4BB1-84A0-4105A35AD3F0,362,1,Cohabitating,2008,6,1,01 Jun 08,No,2010,6,1,01 Jun 10,Widowed,1
EBD7074C-64A7-4686-92C9-03BCEB821B07,224,1,Married,1998,6,1,01 Jun 98,No,2008,6,1,01 Jun 08,Widowed,4
B5C690C8-1A2C-4792-BFDF-32FCCA1FCC29,427,1,Cohabitating,1997,6,1,01 Jun 97,No,1997,6,1,01 Jun 97,Widowed,1
642891BF-AC0E-40A3-8F9E-42092E487952,53,1,Cohabitating,1990,6,1,01 Jun 90,No,1994,2,1,01 Feb 94,Separated,1
EA18E68E-8D30-4815-8C99-B21811DA23A2,148,1,Cohabitating,1995,6,1,01 Jun 95,No,2007,6,1,01 Jun 07,Separated,3
223D216C-119F-4D5A-BBF1-46B31138052A,360,1,Married,2001,8,1,01 Aug 01,No,2003,7,1,01 Jul 03,Widowed,1
8A3AC513-B419-4701-A467-B0FEC608F1D7,359,1,Cohabitating,1992,7,1,01 Jul 92,No,2002,7,1,01 Jul 02,Separated,6
EF606AA9-A039-4010-91CC-C49ABD373CE4,414,1,Cohabitating,1991,6,1,01 Jun 91,No,2003,6,1,01 Jun 03,Separated,2
D77127B2-0D61-4DDA-9E28-F0250B1FFD16,303,1,Non-Cohabitating Steady Relationship,2004,7,1,01 Jul 04,No,2005,7,1,01 Jul 05,Separated,1
D77127B2-0D61-4DDA-9E28-F0250B1FFD16,303,2,Cohabitating,2009,7,1,01 Jul 09,No,2010,6,1,01 Jun 10,Widowed,1
133A9845-79D9-40F2-BE2D-8006EFCC046D,345,1,Cohabitating,2013,7,1,01 Jul 13,Yes,,,,,,1
53C33111-A547-4999-9E5A-FBD8AD1F634D,76,1,Cohabitating,2012,6,1,01 Jun 12,No,2014,4,1,01 Apr 14,Separated,1
AAE5F243-41E3-40A7-8456-3B42526A6033,302,1,Cohabitating,2004,6,1,01 Jun 04,No,2009,6,1,01 Jun 09,Separated,3
