ID,Child_Type,Union,Gender,Alive,Livewith,Relation,Caregiver,Slum,BINT_TIME1_DATE,Child_Age
5,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,16.52566735112936
5,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,13.27857631759069
5,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,9.724845995893224
5,Children From Other Unions,1,Male,No,,Biological Mother,, ,20 Jan 16,6.803559206023272
6,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,7.159479808350445
7,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,15.66598220396988
7,Children From Other Unions,2,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,10.68309377138946
7,Children From Other Unions,3,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,8.125941136208077
9,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,8.766598220396988
9,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,7.685147159479809
10,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,1.281314168377823
14,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,20.87063655030801
14,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,12.78576317590691
14,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,8.544832306639288
14,Children With Biological Father,0,Female,No,,Biological Mother,, ,20 Jan 16,11.12936344969199
14,Non-Biological Children Under Five,,Male,,Yes,Maternal Grandmother,Biolgical Mother, ,20 Jan 16,.5557837097878165
14,Non-Biological Children Under Five,,Female,,Yes,Maternal Grandmother,Biolgical Mother, ,20 Jan 16,.2190280629705681
16,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,17.97399041752224
16,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,12.54209445585216
17,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,21 Jan 16,13.2621492128679
17,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,21 Jan 16,11.61396303901437
18,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,21 Jan 16,10.05338809034908
