PI7,ID,KST_Number,S19_1,S19_3,S19_4,S20_1,S20_3,S20_12,S20_13,S20_14,S20_15,S20_16,S20_18,S20_1_1,S20_1_2,S20_1_3,S20_2_1,S20_2_2,S20_2_3,S20_2_4,S20_2_5,S20_2_5_4,S20_2_5_0,S20_2_5_1,S20_2_5_2,S20_2_5_3,S20_2_5_97,S20_2_5_98,S20_3_1,S20_3_2,S20_3_3,S20_3_4,S20_3_5,S20_3_6,S20_3_6_0,S20_3_6_1,S20_3_6_2,S20_3_6_3,S20_3_6_4,S20_3_6_5,S20_3_6_6,S20_3_6_7,S20_3_6_8,S20_3_6_9,S20_3_6_97,S20_3_6_98,S20_3_7,S20_3_8,S20_3_9,S20_4_1,S20_4_2,S20_4_3,S20_4_3_1,S20_4_3_2,S20_4_3_3,S20_4_3_4,S20_4_3_5,S20_4_3_6,S20_4_3_7,S20_4_3_8,S20_4_3_97,S20_4_3_98,S20_4_5,S20_5_1,S20_5_2,S20_5_3,S20_5_4,S20_5_5,Additional_Record_Flag,KST_ID
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,33,Maternal Aunt,Yes,27,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,2500-4999,Average,2-3 Times A Week,Somewhat,2-3 Times A Week,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,401033
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,12,Sibling (Brother),Yes,13,Yes,,No,,,,, ,Not Employed And Not Looking For Work,,Average,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,Yes,3-5 Hours,1 2 4,Yes,Yes,No,Yes,No,No,No,No,No,No,Satisfied,Somewhat Agree,Agree,Agree,Agree,Yes,No,401012
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,44,Maternal Uncle,Yes,26,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,5000-7499,Average,2-3 Times A Week,Not At All,2-3 Times A Week,Not In The last Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,401044
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,42,Maternal Uncle,Yes,36,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,5000-7499,Average,2-3 Times A Week,Not At All,2-3 Times A Week,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,No,No,401042
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,1,Biological Father,Yes,98,No,,Don't Know,No,,,, ,Don't Know,,Don't Know,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,Yes,No,401001
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,14,Sibling (Brother),Yes,0,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,401014
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,13,Sibling (Sister),Yes,9,Yes,,No,,,,, ,,,Average,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,Yes,3-5 Hours,1 2 3 4,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Satisfied,Somewhat Agree,Agree,Agree,Agree,Yes,No,401013
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,43,Maternal Uncle,Yes,32,No,,No,Yes,1<3 Hours,Matatu,100-249 KSH, ,Not Employed And Not Looking For Work,,Poor,Not In The last Month,Somewhat,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Don't Agree,Agree,Yes,No,401043
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,73,Maternal Grandfather,Yes,63,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Full Time,7500-9999,Rich,Daily,Somewhat,Daily,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,401073
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,32,Maternal Aunt,Yes,30,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,2500-4999,Average,Daily,Somewhat,Daily,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,Yes,Yes,500-999 Kshs,Less Than Half Of All Expenses,Upon Request,1,No,Yes,No,No,No,No,No,No,No,No,No,No, ,< 500 Kshs,Satisfied,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,401032
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,74,Paternal Grandmother,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,401074
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,72,Maternal Grandmother,Yes,56,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,5000-7499,Average,Daily,Somewhat,Daily,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,Yes,Yes,2000 Kshs Or More,Half Of All Expenses,A Few Times A Year,2,No,No,Yes,No,No,No,No,No,No,No,No,No, ,2000 Kshs Or More,Satisfied,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,401072
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,75, Paternal Grandfather,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,401075
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,2,Sibling (Brother),Yes,4,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,401002
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,45,Maternal Uncle,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,401045
6B1A20DC-EBAD-4236-9E14-0A684021602D,97,33,Maternal Aunt,Yes,26,No,,Don't Know,Yes,< 1 Hour,Matatu,50-99 KSH, ,Employed Full Time,Don't Know,Average,Not In The last Month,Not At All,Not In The last Month,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Don't Agree,Don't Know,Don't Know,No,97033
6B1A20DC-EBAD-4236-9E14-0A684021602D,97,75, Paternal Grandfather,,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,97075
6B1A20DC-EBAD-4236-9E14-0A684021602D,97,73,Maternal Grandfather,Yes,32,No,,No,No,,,, ,Employed Part Time,Don't Know,Average,Not In The last Month,Not At All,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,No,No,97073
6B1A20DC-EBAD-4236-9E14-0A684021602D,97,1,Biological Father,Yes,32,No,,Don't Know,No,,,, ,Employed Full Time,Don't Know,Average,Not In The last Month,0,Not In The last Month,1-3 Times In A Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,No,No,97001
6B1A20DC-EBAD-4236-9E14-0A684021602D,97,74,Paternal Grandmother,Yes,98,No,,Don't Know,Yes,< 1 Hour,Matatu,50-99 KSH, ,Don't Know,,Don't Know,Not In The last Month,Don't Know,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,97074
6B1A20DC-EBAD-4236-9E14-0A684021602D,97,42,Maternal Uncle,Yes,34,No,,Don't Know,Yes,< 1 Hour,Matatu,50-99 KSH, ,Employed Full Time,Don't Know,Average,Not In The last Month,Don't Know,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Somewhat Agree,Agree,Somewhat Agree,Agree,Yes,No,97042
6B1A20DC-EBAD-4236-9E14-0A684021602D,97,72,Maternal Grandmother,Yes,98,No,,No,Yes,6<11 Hours,Bus,500-999 KSH, ,Not Employed And Looking For Work,,Average,1-3 Times In A Month,Somewhat,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,97072
6B1A20DC-EBAD-4236-9E14-0A684021602D,97,232,Maternal Aunt,Yes,28,No,,No,No,,,, ,Employed Full Time,Don't Know,Average,Not In The last Month,Not At All,Not In The last Month,Not In The last Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,97232
6B1A20DC-EBAD-4236-9E14-0A684021602D,97,234,Maternal Aunt,Yes,24,No,,Don't Know,Yes,< 1 Hour,Matatu,50-99 KSH, ,Employed Full Time,Don't Know,Average,Not In The last Month,Not At All,Not In The last Month,Once A Week,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Somewhat Agree,Agree,Agree,Agree,Yes,No,97234
450B6B94-95D0-429C-B185-FBC297852BF2,15,72,Maternal Grandmother,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,15072
450B6B94-95D0-429C-B185-FBC297852BF2,15,73,Maternal Grandfather,Yes,Don't Know,No,,No,Yes,1<3 Hours,Matatu,100-249 KSH, ,Not Employed And Not Looking For Work,,Very Poor,1-3 Times In A Month,Not At All,1-3 Times In A Month,1-3 Times In A Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Somewhat Agree,Somewhat Agree,Yes,No,15073
450B6B94-95D0-429C-B185-FBC297852BF2,15,133,Maternal Aunt,Yes,21,No,,No,Yes,1<3 Hours,Matatu,100-249 KSH, ,Employed Part Time,Don't Know,Poor,Not In The last Month,Not At All,Not In The last Month,1-3 Times In A Month,4 0,Yes,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Somewhat Agree,Agree,Don't Know,No,15133
