PI7,ID,S11_2,S11_3,S11_4,S11_5,S11_6,S11_7,S11_8
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,2,Non-Cohabitating Casual Relationship,01 Jan 13,Yes,,,1
B07CD572-A98E-4D61-9F1F-36E0097A4E7B,401,1,Married,01 Jan 00,No,01 Jan 07,Separated/Break Up,2
BE9BE28A-C34D-402F-8E88-D79D8F11614A,328,1,Cohabitating,01 Jan 08,No,01 Jan 10,Separated/Break Up,1
BF2A3833-70B5-4818-A7A3-595A7A377C28,329,1,Non-Cohabitating Casual Relationship,01 Jan 00,No,01 Jan 03,Separated/Break Up,1
753D9E3E-CCCA-4B6F-890C-56265D7BF737,76,1,Cohabitating,01 Jan 07,No,01 Jan 08,Separated/Break Up,1
0C0E7D21-4E47-45A8-8A8C-63D7D3F22030,414,1,Non-Cohabitating Casual Relationship,01 Jan 14,Yes,,,1
45ADD36F-357D-4A6D-A08A-418808CBBF3A,71,2,Non-Cohabitating Steady Relationship,01 Jan 08,No,01 Jan 09,Separated/Break Up,1
45ADD36F-357D-4A6D-A08A-418808CBBF3A,71,1,Cohabitating,01 Jan 92,No,01 Jan 09,Separated/Break Up,3
B678CF96-D929-4167-9A9F-7A2DC77AF595,16,1,Cohabitating,01 Jan 96,No,01 Jan 06,Separated/Break Up,2
4B5A3D95-27AC-483C-A862-D7AB77F88105,376,1,Married,01 Jan 97,No,01 Jan 11,Separated/Break Up,1
AEEDA239-62A7-413B-8C5F-D95C07F3872E,192,2,Non-Cohabitating Casual Relationship,01 Jan 14,No,01 Aug 15,Separated/Break Up,1
AEEDA239-62A7-413B-8C5F-D95C07F3872E,192,1,Married,01 Jan 01,No,01 Jan 02,Separated/Break Up,2
34396341-037E-4620-904E-85A3F3EA3EB0,5,1,Cohabitating,01 Jan 00,No,01 Jun 08,Separated/Break Up,4
2CF17989-8332-48C5-AD4E-45AA773EEFC3,228,1,Non-Cohabitating Casual Relationship,01 Jan 00,No,01 Jan 00,Separated/Break Up,1
82A573EC-7706-41F9-AA18-27D34E7E6EDB,366,1,Non-Cohabitating Casual Relationship,01 Jan 06,No,01 Nov 07,Man Deceased,1
82A573EC-7706-41F9-AA18-27D34E7E6EDB,366,2,Cohabitating,01 Jan 94,No,01 Jan 04,Man Deceased,2
38461001-0533-494F-9747-4FEE8A26B37F,68,1,Cohabitating,01 Jun 12,No,01 Dec 13,Separated/Break Up,1
0780AEDC-8C9A-4F32-B537-ED1305D275AE,42,1,Cohabitating,01 Jan 11,No,01 Jan 00,Separated/Break Up,1
F6A571F1-70C1-4243-9B22-F246B59E5743,430,1,Non-Cohabitating Steady Relationship,01 Jan 06,No,01 Jan 09,Separated/Break Up,1
DFA7BE07-3780-4925-8820-AE21257922D9,296,1,Cohabitating,01 Jan 94,No,01 Jan 02,Separated/Break Up,2
C64DCB3C-5C77-44E8-A6CD-42ADD9E02531,17,1,Non-Cohabitating Casual Relationship,01 Jan 02,No,,Separated/Break Up,2
9F274FAD-09D6-4343-B013-1088C85DD7EE,18,1,Married,01 Aug 04,No,01 Jan 08,Separated/Break Up,2
94FB9A33-C9B5-4093-ADD8-826D67A481F3,145,2,Non-Cohabitating Steady Relationship,01 Jan 06,No,01 Jan 07,Separated/Break Up,1
94FB9A33-C9B5-4093-ADD8-826D67A481F3,145,1,Non-Cohabitating Casual Relationship,01 Jan 99,No,01 Jan 01,Separated/Break Up,1
86FB80F1-AF4C-43F2-827D-B0A632ADA7D0,86,1,Cohabitating,01 Dec 10,No,01 Jan 15,Separated/Break Up,1
00126CF9-8ABF-4486-9CEC-ABE457573D0B,403,1,Cohabitating,01 Jan 00,No,01 Jan 04,Separated/Break Up,1
3C1C965A-CA14-4411-9F8B-225674E48A31,164,1,Non-Cohabitating Steady Relationship,01 Jan 95,No,01 Jan 03,Man Deceased,1
F7F65A7C-6067-4864-BEB0-198206276126,167,1,Non-Cohabitating Steady Relationship,01 Jan 14,Yes,,,1
70621DA0-C367-41CD-B8CA-ECB148B6A160,154,2,Cohabitating,01 Jan 10,No,01 Jan 11,Separated/Break Up,1
70621DA0-C367-41CD-B8CA-ECB148B6A160,154,1,Cohabitating,01 Jan 99,No,01 Jan 01,Man Deceased,1
9074C7AB-5E69-4C82-861C-54E4B2845CCB,394,1,Married,01 Jan 87,No,01 Jan 91,Separated/Break Up,2
011EA0DF-CA34-4D6C-B1E8-73B19431F6B7,244,1,Cohabitating,01 Jan 00,No,01 Jan 98,Don't Know,1
B23F478E-E918-4599-A34C-66894986780C,406,1,Married,01 Aug 91,No,01 Jan 06,Divorced,5
D2D4174C-D391-4F55-A425-AC745011E226,389,1,Non-Cohabitating Casual Relationship,01 Jan 98,No,01 Jun 99,Separated/Break Up,1
593F9102-469C-430E-89F2-12DE0C11342A,299,1,Non-Cohabitating Casual Relationship,01 Jan 05,No,01 Jan 05,Separated/Break Up,1
C087165F-F716-4DE5-AD85-902F138A0998,387,1,Non-Cohabitating Casual Relationship,01 Jan 03,No,01 Jan 04,Separated/Break Up,1
C087165F-F716-4DE5-AD85-902F138A0998,387,2,Non-Cohabitating Casual Relationship,01 Jan 06,No,01 Jan 07,Separated/Break Up,1
1E6FE1EF-DBFF-440A-866C-0AE9AC6D9F69,245,1,Cohabitating,01 Dec 95,No,01 Jan 08,Separated/Break Up,5
ACCE1521-2BC6-419D-9422-387169367387,301,1,Cohabitating,01 Jan 01,No,01 Jan 07,Separated/Break Up,1
572137C4-E55C-4D68-B787-A65BD23B9FAE,205,1,Cohabitating,01 Jan 15,No,01 May 15,Separated/Break Up,1
3E536894-1688-4D34-9414-20D386870733,368,2,Married,01 Jan 03,No,01 Jul 09,Separated/Break Up,5
3E536894-1688-4D34-9414-20D386870733,368,1,Non-Cohabitating Casual Relationship,01 Jan 00,No,01 Jan 01,Separated/Break Up,1
1A7FED3B-B2AF-49A6-878D-9AD1EE6CE819,272,1,Non-Cohabitating Casual Relationship,01 Jan 00,No,01 Jan 00,Separated/Break Up,1
